Locus.Tag,Gene.Name,Protein.Code,Protein.Product
NCAV_0681,NCAV_0681,A0A2K5AQD6,Uncharacterized protein
NCAV_1476,NCAV_1476,A0A2K5ASL9,Uncharacterized protein
NCAV_0240,rpl15p,A0A2K5AP87,50S ribosomal protein L15
NCAV_0300,NCAV_0300,A0A2K5APC8,Uncharacterized protein
NCAV_0578,NCAV_0578,A0A2K5AQ42,Putative Glycosyltransferase
NCAV_1722,NCAV_1722,A0A2K5ATC5,NurA domain-containing protein
NCAV_1050,NCAV_1050,A0A2K5ARH0,Uncharacterized protein
NCAV_0884,NCAV_0884,A0A2K5AQY6,Uncharacterized protein
NCAV_1031,NCAV_1031,A0A2K5ARD4,Uncharacterized protein
NCAV_1029,NCAV_1029,A0A2K5ARD3,Uncharacterized protein
NCAV_1622,NCAV_1622,A0A2K5AT19,4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)
NCAV_1578,NCAV_1578,A0A2K5ASX0,Uncharacterized protein
NCAV_0046,tfe,A0A2K5ANM6,Transcription factor E (TFE) (TFIIE subunit alpha homolog) (Transcription initiation factor TFIIE)
NCAV_0396,thi,A0A2K5APM7,Thiamine thiazole synthase (EC 2.4.2.59)
NCAV_0560,rps28e,A0A2K5AQ22,30S ribosomal protein S28e
NCAV_0033,NCAV_0033,A0A2K5ANL9,Uncharacterized protein
NCAV_1765,NCAV_1765,A0A2K5ATE8,dUTPase
NCAV_0516,NCAV_0516,A0A2K5AQ30,Uncharacterized protein
NCAV_1497,NCAV_1497,A0A2K5ASP3,Uncharacterized protein
NCAV_1712,lysA,A0A2K5ATB4,Diaminopimelate decarboxylase LysA (EC 4.1.1.20)
NCAV_1201,albA,A0A2K5ART5,DNA/RNA-binding protein Alba
NCAV_1605,NCAV_1605,A0A2K5ASZ1,Uncharacterized protein
NCAV_1019,NCAV_1019,A0A2K5ARC1,Uncharacterized protein
NCAV_1426,NCAV_1426,A0A2K5ASH3,Uncharacterized protein
NCAV_0161,resA,A0A2K5ANZ3,NHL repeat-containing protein
NCAV_1559,NCAV_1559,A0A2K5ASY8,Uncharacterized protein
NCAV_0806,NCAV_0806,A0A2K5AQS7,Uncharacterized protein
NCAV_0726,NCAV_0726,A0A2K5AQL7,Fe-S oxidoreductase
NCAV_0791,NCAV_0791,A0A2K5AQN9,"ABC-type Fe3+-hydroxamate transport system, periplasmic component"
NCAV_1434,NCAV_1434,A0A2K5ASH9,Saccharop_dh_N domain-containing protein
NCAV_1304,NCAV_1304,A0A2K5AS52,Uncharacterized protein
NCAV_1249,argD,A0A2K5ARY8,Acetylornithine aminotransferase (EC 2.6.1.11)
NCAV_1470,NCAV_1470,A0A2K5ASK5,HTH_45 domain-containing protein
NCAV_1445,NCAV_1445,A0A2K5ASJ6,Uncharacterized protein
NCAV_1361,NCAV_1361,A0A2K5ASB3,Uncharacterized protein
NCAV_0250,NCAV_0250,A0A2K5AP97,Uncharacterized protein
NCAV_1406,NCAV_1406,A0A2K5ASF3,Putative NorQ like ATPase
NCAV_0715,kae,A0A2K5AQG1,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein Kae1) (tRNA threonylcarbamoyladenosine biosynthesis protein Kae1)
NCAV_0128,NCAV_0128,A0A2K5ANW1,tRNA (cytidine(56)-2'-O)-methyltransferase (EC 2.1.1.206) (tRNA ribose 2'-O-methyltransferase aTrm56)
NCAV_1090,NCAV_1090,A0A2K5ARK4,Uncharacterized protein
NCAV_1644,cbiG,A0A2K5AT50,Cobalt-precorrin-5A hydrolase (EC 3.7.1.12)
NCAV_1625,NCAV_1625,A0A2K5AT08,"ABC efflux transporter, FtsX-domain permease protein"
NCAV_1584,NCAV_1584,A0A2K5AT05,Blue (Type 1) copper domain protein
NCAV_0299,NCAV_0299,A0A2K5APC2,Putative methyltransferase
NCAV_0410,NCAV_0410,A0A2K5APN9,Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)
NCAV_1185,NCAV_1185,A0A2K5ARS6,Uncharacterized protein
NCAV_0803,bioB,A0A2K5AQP6,Biotin synthase (EC 2.8.1.6)
NCAV_1800,NCAV_1800,A0A2K5ATK6,Uncharacterized protein
NCAV_1771,NCAV_1771,A0A2K5ATK3,Uncharacterized protein
NCAV_0905,NCAV_0905,A0A2K5AR09,Uncharacterized protein
NCAV_1065,NCAV_1065,A0A2K5ARF7,Uncharacterized protein
NCAV_1214,NCAV_1214,A0A2K5ARV8,Uncharacterized protein
NCAV_0735,trm,A0A2K5AQH8,"N(2),N(2)-dimethylguanosine tRNA methyltransferase (EC 2.1.1.213)"
NCAV_0320,gloB,A0A2K5APE9,Beta-lactamase domain-containing protein (GloB) (EC 3.1.2.6)
NCAV_0017,NCAV_0017,A0A2K5ANJ5,"ABC-type phosphate/phosphonate transport system, ATPase component"
NCAV_0885,ths1,A0A2K5AQY0,Thermosome subunit
NCAV_0260,NCAV_0260,A0A2K5APA7,Glyco_trans_2-like domain-containing protein
NCAV_0264,NCAV_0264,A0A2K5AP94,NADH dehydrogenase subunit A (EC 1.6.5.3)
NCAV_1763,NCAV_1763,A0A2K5ATF1,Copper resistance protein CopD
NCAV_0025,NCAV_0025,A0A2K5ANK6,"Transcriptional regulator, AsnC family"
NCAV_1338,NCAV_1338,A0A2K5ASC6,Putative archaeal flagella protein FlaI
NCAV_1080,NCAV_1080,A0A2K5ARJ7,Uncharacterized protein
NCAV_1277,NCAV_1277,A0A2K5AS65,Putative glycosyl transferase family protein
NCAV_1040,NCAV_1040,A0A2K5ARG2,Uncharacterized protein
NCAV_1425,NCAV_1425,A0A2K5ASH6,C2H2-type domain-containing protein
NCAV_0039,NCAV_0039,A0A2K5ANR0,Putative Small heat shock protein HSP16.5
NCAV_0477,NCAV_0477,A0A2K5APV3,Putative TGS domain protein
NCAV_0514,NCAV_0514,A0A2K5AQ19,Acetate--CoA ligase (ADP-forming) (EC 6.2.1.13)
NCAV_0335,NCAV_0335,A0A2K5APJ1,Acetoin utilization protein AcuC
NCAV_0859,NCAV_0859,A0A2K5AQV6,Uncharacterized protein
NCAV_0348,NCAV_0348,A0A2K5APG8,4Fe-4S ferredoxin iron-sulfur binding domain protein
NCAV_1073,NCAV_1073,A0A2K5ARG5,Putative integrase
NCAV_1196,NCAV_1196,A0A2K5ART7,Uncharacterized protein
NCAV_1177,NCAV_1177,A0A2K5ARW6,Uncharacterized protein
NCAV_0461,NCAV_0461,A0A2K5APU8,Uncharacterized protein
NCAV_1731,NCAV_1731,A0A2K5ATF8,Uncharacterized protein
NCAV_1477,cdvB-like,A0A2K5ASM5,Putative SNF7 protein
NCAV_1641,cbiA,A0A2K5AT67,"Cobyrinate a,c-diamide synthase (EC 6.3.5.11) (Cobyrinic acid a,c-diamide synthetase)"
NCAV_0649,NCAV_0649,A0A2K5AQA8,Uncharacterized protein
NCAV_0824,rnp,A0A2K5AQS3,Ribonuclease P protein component 1 (RNase P component 1) (EC 3.1.26.5) (Rpp29)
NCAV_0154,guaA,A0A2K5ANY8,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)
NCAV_1100,NCAV_1100,A0A2K5ARL4,Peptidase U62 modulator of DNA gyrase
NCAV_1777,cas2,A0A2K5ATG8,CRISPR-associated endoribonuclease Cas2 (EC 3.1.-.-)
NCAV_0134,NCAV_0134,A0A2K5ANW8,Uncharacterized protein
NCAV_1023,NCAV_1023,A0A2K5ARC3,ATPase protein
NCAV_1460,NCAV_1460,A0A2K5ASJ5,Uncharacterized protein
NCAV_0627,NCAV_0627,A0A2K5AQB3,Uncharacterized protein
NCAV_0615,NCAV_0615,A0A2K5AQB2,Uncharacterized protein
NCAV_1414,NCAV_1414,A0A2K5ASF5,Acetoacetyl-CoA thiolase or ketoacyl-CoA thiolase (EC 2.3.1.9)
NCAV_0897,NCAV_0897,A0A2K5AR42,Uncharacterized protein
NCAV_1590,NCAV_1590,A0A2K5ASZ4,Uncharacterized protein
NCAV_1488,NCAV_1488,A0A2K5ASR6,3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)
NCAV_0518,NCAV_0518,A0A2K5APY6,Uncharacterized protein
NCAV_0105,NCAV_0105,A0A2K5ANT9,Putative signal-transduction protein
NCAV_1035,NCAV_1035,A0A2K5ARC8,Uncharacterized protein
NCAV_1099,NCAV_1099,A0A2K5ARK0,Putative phosphohydrolase
NCAV_0668,NCAV_0668,A0A2K5AQD9,Uncharacterized protein
NCAV_0722,NCAV_0722,A0A2K5AQH5,Putative nickel-responsive regulator 1
NCAV_0225,sufD,A0A2K5AP56,Putative FeS cluster assembly protein sufD
NCAV_1649,NCAV_1649,A0A2K5AT40,DNA repair and recombination protein RadA
NCAV_1024,NCAV_1024,A0A2K5ARB1,Uncharacterized protein
NCAV_0770,NCAV_0770,A0A2K5AQM2,Putative CAAX amino terminal protease family protein
NCAV_0220,hemL,A0A2K5AP46,"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)"
NCAV_0378,NCAV_0378,A0A2K5APK1,Uncharacterized protein
NCAV_1208,NCAV_1208,A0A2K5ARX1,Uncharacterized protein
NCAV_0095,nth,A0A2K5ANS8,Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)
NCAV_0643,ahcY,A0A2K5AQD2,Adenosylhomocysteinase (EC 3.3.1.1)
NCAV_0113,dpm,A0A2K5ANV3,Dolichol-phosphate mannosyltransferase (EC 2.4.1.83)
NCAV_1016,NCAV_1016,A0A2K5ARB8,"Putative Adenine-specific DNA methylase, contains a Zn-ribbon domain"
NCAV_0148,NCAV_0148,A0A2K5ANX9,Putative Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)
NCAV_1748,NCAV_1748,A0A2K5ATF9,Putative Serine/threonine protein kinase
NCAV_0028,NCAV_0028,A0A2K5ANK4,Cell division protein SepF
NCAV_0213,NCAV_0213,A0A2K5AP41,Chlorite dismutase family protein
NCAV_0667,NCAV_0667,A0A2K5AQH2,Uncharacterized protein
NCAV_0453,NCAV_0453,A0A2K5APW4,Uncharacterized protein
NCAV_1013,NCAV_1013,A0A2K5ARB5,"Putative ATPase/GTPase, AAA15 family"
NCAV_0589,NCAV_0589,A0A2K5AQ66,Uncharacterized protein
NCAV_1034,NCAV_1034,A0A2K5ARD0,SWIM-type domain-containing protein
NCAV_0995,ureF,A0A2K5AR95,Urease accessory protein UreF
NCAV_1459,NCAV_1459,A0A2K5ASK8,"Putative cobalt transporter family protein, subunit CbtB"
NCAV_1739,NCAV_1739,A0A2K5ATC4,Uncharacterized protein
NCAV_0951,NCAV_0951,A0A2K5AR55,Uncharacterized protein
NCAV_0327,NCAV_0327,A0A2K5APE6,Uncharacterized protein
NCAV_0768,NCAV_0768,A0A2K5AQS4,Uncharacterized protein
NCAV_1377,NCAV_1377,A0A2K5ASC3,Uncharacterized protein
NCAV_0056,NCAV_0056,A0A2K5ANN6,Uncharacterized protein
NCAV_1799,NCAV_1799,A0A2K5ATJ1,TrmB domain-containing protein
NCAV_0443,NCAV_0443,A0A2K5APV4,Uncharacterized protein
NCAV_0011,NCAV_0011,A0A2K5ANJ2,ABC-1 domain-containing protein
NCAV_1318,NCAV_1318,A0A2K5ASA7,Putative Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase
NCAV_1581,NCAV_1581,A0A2K5ASW6,Uncharacterized protein
NCAV_1582,NCAV_1582,A0A2K5ASZ7,Uncharacterized protein
NCAV_0792,NCAV_0792,A0A2K5AQP9,Putative membrane Serralysin-like metalloprotease
NCAV_0568,NCAV_0568,A0A2K5AQ33,Uncharacterized protein
NCAV_1141,NCAV_1141,A0A2K5ARP3,Uncharacterized protein
NCAV_0442,NCAV_0442,A0A2K5APS3,Uncharacterized protein
NCAV_0703,NCAV_0703,A0A2K5AQJ5,Uncharacterized protein
NCAV_0203,NCAV_0203,A0A2K5AP35,Putative chromosome segregation and condensation protein ScpA
NCAV_0123,NCAV_0123,A0A2K5ANW2,Putative GMP synthase
NCAV_0426,NCAV_0426,A0A2K5APQ3,"Putative Cadmium, cobalt and zinc/H(+)-K(+) antiporter"
NCAV_0194,NCAV_0194,A0A2K5AP31,AsnC_trans_reg domain-containing protein
NCAV_0760,trpA,A0A2K5AQL2,Tryptophan synthase alpha chain (EC 4.2.1.20)
NCAV_0723,NCAV_0723,A0A2K5AQL5,Putative High-affinity zinc uptake system binding-protein ZnuA
NCAV_0783,NCAV_0783,A0A2K5AQS2,Putative membrane-associated protein
NCAV_1049,NCAV_1049,A0A2K5ARE9,Uncharacterized protein
NCAV_0754,NCAV_0754,A0A2K5AQN0,Archaetidylinositol phosphate synthase (AIP synthase) (EC 2.7.8.39)
NCAV_0683,NCAV_0683,A0A2K5AQH9,Putative hydrogenase formation protein HypD
NCAV_0431,NCAV_0431,A0A2K5APR6,Uncharacterized protein
NCAV_0927,NCAV_0927,A0A2K5AR73,Uncharacterized protein
NCAV_0252,NCAV_0252,A0A2K5APB0,Uncharacterized protein
NCAV_0788,NCAV_0788,A0A2K5AQT7,Uncharacterized protein
NCAV_1465,trpS,A0A2K5ASL0,Tryptophan--tRNA ligase (EC 6.1.1.2)
NCAV_1056,NCAV_1056,A0A2K5ARF5,Uncharacterized protein
NCAV_0340,hisS,A0A2K5APG7,Histidine--tRNA ligase (EC 6.1.1.21)
NCAV_0107,cbiT,A0A2K5ANV0,Probable cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating) (EC 2.1.1.196)
NCAV_0537,NCAV_0537,A0A2K5AQ14,Uncharacterized protein
NCAV_0556,NCAV_0556,A0A2K5AQ69,Putative divalent heavy-metal cations transporter
NCAV_1344,NCAV_1344,A0A2K5AS86,Putative adhesin
NCAV_1272,tdcB,A0A2K5AS49,Threonine ammonia-lyase (EC 4.3.1.19)
NCAV_1756,NCAV_1756,A0A2K5ATH2,Uncharacterized protein
NCAV_0616,NCAV_0616,A0A2K5AQ70,Uncharacterized protein
NCAV_0085,NCAV_0085,A0A2K5ANS1,Uncharacterized protein
NCAV_0468,NCAV_0468,A0A2K5APU2,Putative 4-hydroxybenzoate synthetase (Chorismate lyase) (EC 4.1.3.40)
NCAV_0288,NCAV_0288,A0A2K5APB6,Putative nickel-responsive regulator
NCAV_1685,NCAV_1685,A0A2K5AT74,DNA-directed RNA polymerase (EC 2.7.7.6)
NCAV_1481,NCAV_1481,A0A2K5ASP7,Sec-independent protein secretion pathway component
NCAV_0402,NCAV_0402,A0A2K5APN3,Uncharacterized protein
NCAV_0583,NCAV_0583,A0A2K5AQ48,Uncharacterized protein
NCAV_0451,NCAV_0451,A0A2K5APT6,Pyruvate formate lyase activating enzyme (EC 1.97.1.4)
NCAV_1456,NCAV_1456,A0A2K5ASK3,Uncharacterized protein
NCAV_0086,NCAV_0086,A0A2K5ANR5,Putative beta-ketothiolase beta subunit
NCAV_0572,NCAV_0572,A0A2K5AQ63,UDP-glucuronate decarboxylase (EC 4.1.1.35)
NCAV_1129,NCAV_1129,A0A2K5ARQ6,Uncharacterized protein
NCAV_0565,fabG,A0A2K5AQ20,3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100)
NCAV_1792,glnA,A0A2K5ATI6,Glutamine synthetase (EC 6.3.1.2)
NCAV_0373,NCAV_0373,A0A2K5APM5,Putative HAD family hydrolase
NCAV_1248,lysM,A0A2K5AS04,HTH-type transcriptional regulator LysM
NCAV_0756,nadK,A0A2K5AQP8,NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)
NCAV_1413,NCAV_1413,A0A2K5ASJ1,Uncharacterized protein
NCAV_0386,aroK,A0A2K5APL9,Shikimate kinase (SK) (EC 2.7.1.71)
NCAV_1612,NCAV_1612,A0A2K5AT11,Uncharacterized protein
NCAV_0617,NCAV_0617,A0A2K5AQC6,Uncharacterized protein
NCAV_1766,NCAV_1766,A0A2K5ATI1,DnaJ domain protein
NCAV_0596,NCAV_0596,A0A2K5AQB0,Uncharacterized protein
NCAV_0721,NCAV_0721,A0A2K5AQH1,Putative Inosine 5'-monophosphate dehydrogenase
NCAV_0173,NCAV_0173,A0A2K5AP04,Uncharacterized protein
NCAV_1043,NCAV_1043,A0A2K5ARD7,Uncharacterized protein
NCAV_1555,rpl32e,A0A2K5ASU6,50S ribosomal protein L32e
NCAV_0359,rrp,A0A2K5API8,Exosome complex component Rrp42
NCAV_1205,NCAV_1205,A0A2K5ARU8,DNA repair protein
NCAV_0247,NCAV_0247,A0A2K5AP77,Pyridoxamine 5'-phosphate oxidase FMN-binding protein
NCAV_1534,NCAV_1534,A0A2K5ASV3,Putative transcriptional regulator
NCAV_0880,cofH,A0A2K5AR04,5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase (EC 2.5.1.147)
NCAV_1795,NCAV_1795,A0A2K5ATH7,Uncharacterized protein
NCAV_0762,trpC,A0A2K5AQL9,Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)
NCAV_0957,acsA,A0A2K5ARA7,Acetyl-CoA synthetase (EC 6.2.1.1)
NCAV_1571,NCAV_1571,A0A2K5ASV7,Uncharacterized protein
NCAV_1383,NCAV_1383,A0A2K5ASG0,Putative RecB family endonuclease
NCAV_0350,NCAV_0350,A0A2K5APH7,Natural resistance-associated macrophage protein
NCAV_0692,NCAV_0692,A0A2K5AQF2,Uncharacterized protein
NCAV_1509,NCAV_1509,A0A2K5ASQ0,HTH_45 domain-containing protein
NCAV_0179,hisA,A0A2K5AP47,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)
NCAV_1552,NCAV_1552,A0A2K5ASW8,Uncharacterized protein
NCAV_1720,NCAV_1720,A0A2K5ATB8,HTH marR-type domain-containing protein
NCAV_1405,NCAV_1405,A0A2K5ASF9,Putative von Willebrand factor type A domain protein
NCAV_1076,NCAV_1076,A0A2K5ARH6,Uncharacterized protein
NCAV_0994,ureG,A0A2K5AR82,Urease accessory protein UreG
NCAV_0912,NCAV_0912,A0A2K5AR65,Uncharacterized protein
NCAV_0102,NCAV_0102,A0A2K5ANU1,Putative glycosyltransferase
NCAV_0112,NCAV_0112,A0A2K5ANU7,Type-5 uracil-DNA glycosylase
NCAV_0798,fbp,A0A2K5AQU9,"Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13)"
NCAV_0126,NCAV_0126,A0A2K5ANV4,Putative 4-hydroxybutyryl-CoA dehydratase (EC 4.2.1.120)
NCAV_0311,NCAV_0311,A0A2K5APE3,Uncharacterized protein
NCAV_0603,NCAV_0603,A0A2K5AQ68,Transposase
NCAV_1067,NCAV_1067,A0A2K5ARM3,Uncharacterized protein
NCAV_0035,NCAV_0035,A0A2K5ANL7,Uncharacterized protein
NCAV_0316,rps4p,A0A2K5APF3,30S ribosomal protein S4
NCAV_0665,NCAV_0665,A0A2K5AQB5,Uncharacterized protein
NCAV_0659,NCAV_0659,A0A2K5AQC1,Acetyl-CoA acetyltransferase
NCAV_0655,NCAV_0655,A0A2K5AQA9,Putative phosphoesterase
NCAV_0388,aroD,A0A2K5APL1,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)
NCAV_1529,phaC,A0A2K5ASV6,PHB synthase subunit PhaC (Poly(3-hydroxyalkanoate) polymerase subunit PhaC)
NCAV_0854,nadC,A0A2K5AQV3,Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating])
NCAV_1416,NCAV_1416,A0A2K5ASG2,Nucleotidyl transferase
NCAV_0646,NCAV_0646,A0A2K5AQE9,Uncharacterized protein
NCAV_1299,NCAV_1299,A0A2K5AS33,ERCC4-like helicase
NCAV_0361,rrp,A0A2K5APJ6,Exosome complex component Rrp4
NCAV_1250,lysZ,A0A2K5AS12,Multifunctional fusion protein [Includes: Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK); Putative [LysW]-aminoadipate/[LysW]-glutamate kinase (EC 2.7.2.-) (EC 2.7.2.17)]
NCAV_0351,NCAV_0351,A0A2K5API7,Uncharacterized protein
NCAV_1646,NCAV_1646,A0A2K5AT63,Non-specific serine/threonine protein kinase (EC 2.7.11.1)
NCAV_1545,rpl11p,A0A2K5AST6,50S ribosomal protein L11
NCAV_0821,rpl24p,A0A2K5AQW8,50S ribosomal protein L24
NCAV_0820,RP-S4e,A0A2K5AQR2,30S ribosomal protein S4e
NCAV_1613,mdh,A0A2K5ASZ6,Malate dehydrogenase (EC 1.1.1.37)
NCAV_1345,NCAV_1345,A0A2K5AS94,Uncharacterized protein
NCAV_1066,NCAV_1066,A0A2K5ARG6,Uncharacterized protein
NCAV_1453,queC,A0A2K5ASN2,Putative 7-cyano-7-deazaguanine synthase (EC 6.3.-.-)
NCAV_1393,NCAV_1393,A0A2K5ASG9,Diphthine synthase (EC 2.1.1.98)
NCAV_0223,NCAV_0223,A0A2K5AP52,Putative Uroporphyrinogen-III synthase/methyltransferase (EC 2.1.1.107) (EC 4.2.1.75)
NCAV_0638,NCAV_0638,A0A2K5AQ95,Uncharacterized protein
NCAV_0535,purB,A0A2K5APZ5,Adenylosuccinase (EC 4.3.2.2) (Adenylosuccinate lyase)
NCAV_0298,NCAV_0298,A0A2K5APC4,Uncharacterized protein
NCAV_1653,NCAV_1653,A0A2K5AT48,Uncharacterized protein
NCAV_0776,NCAV_0776,A0A2K5AQR5,"Peptide/opine/nickel ABC uptake transporter, substrate-binding protein"
